Category: All categories

Week,How to drill: (Worldwide)
2018-01-07,51
2018-01-14,53
2018-01-21,54
2018-01-28,53
2018-02-04,56
2018-02-11,49
2018-02-18,52
2018-02-25,60
2018-03-04,57
2018-03-11,57
2018-03-18,57
2018-03-25,56
2018-04-01,55
2018-04-08,51
2018-04-15,54
2018-04-22,55
2018-04-29,53
2018-05-06,51
2018-05-13,52
2018-05-20,53
2018-05-27,56
2018-06-03,57
2018-06-10,64
2018-06-17,57
2018-06-24,53
2018-07-01,63
2018-07-08,59
2018-07-15,62
2018-07-22,66
2018-07-29,56
2018-08-05,56
2018-08-12,59
2018-08-19,59
2018-08-26,61
2018-09-02,54
2018-09-09,60
2018-09-16,51
2018-09-23,47
2018-09-30,49
2018-10-07,44
2018-10-14,49
2018-10-21,56
2018-10-28,54
2018-11-04,57
2018-11-11,60
2018-11-18,47
2018-11-25,57
2018-12-02,59
2018-12-09,47
2018-12-16,53
2018-12-23,49
2018-12-30,60
2019-01-06,57
2019-01-13,53
2019-01-20,54
2019-01-27,54
2019-02-03,62
2019-02-10,58
2019-02-17,58
2019-02-24,47
2019-03-03,67
2019-03-10,52
2019-03-17,53
2019-03-24,54
2019-03-31,58
2019-04-07,52
2019-04-14,59
2019-04-21,55
2019-04-28,62
2019-05-05,59
2019-05-12,53
2019-05-19,55
2019-05-26,62
2019-06-02,60
2019-06-09,63
2019-06-16,55
2019-06-23,56
2019-06-30,65
2019-07-07,58
2019-07-14,61
2019-07-21,56
2019-07-28,56
2019-08-04,62
2019-08-11,56
2019-08-18,57
2019-08-25,64
2019-09-01,60
2019-09-08,60
2019-09-15,55
2019-09-22,53
2019-09-29,58
2019-10-06,56
2019-10-13,55
2019-10-20,57
2019-10-27,51
2019-11-03,52
2019-11-10,58
2019-11-17,53
2019-11-24,55
2019-12-01,52
2019-12-08,51
2019-12-15,50
2019-12-22,54
2019-12-29,60
2020-01-05,61
2020-01-12,59
2020-01-19,61
2020-01-26,53
2020-02-02,57
2020-02-09,54
2020-02-16,58
2020-02-23,61
2020-03-01,63
2020-03-08,56
2020-03-15,64
2020-03-22,62
2020-03-29,74
2020-04-05,81
2020-04-12,85
2020-04-19,83
2020-04-26,86
2020-05-03,87
2020-05-10,93
2020-05-17,100
2020-05-24,88
2020-05-31,85
2020-06-07,95
2020-06-14,92
2020-06-21,83
2020-06-28,79
2020-07-05,79
2020-07-12,86
2020-07-19,82
2020-07-26,80
2020-08-02,79
2020-08-09,82
2020-08-16,80
2020-08-23,73
2020-08-30,81
2020-09-06,73
2020-09-13,74
2020-09-20,74
2020-09-27,69
2020-10-04,81
2020-10-11,74
2020-10-18,72
2020-10-25,67
2020-11-01,58
2020-11-08,68
2020-11-15,60
2020-11-22,65
2020-11-29,64
2020-12-06,66
2020-12-13,62
2020-12-20,65
2020-12-27,69
2021-01-03,64
2021-01-10,79
2021-01-17,70
2021-01-24,71
2021-01-31,76
2021-02-07,64
2021-02-14,67
2021-02-21,80
2021-02-28,75
2021-03-07,73
2021-03-14,72
2021-03-21,72
2021-03-28,75
2021-04-04,73
2021-04-11,75
2021-04-18,61
