Category: All categories

Week,How to drill: (United States)
2018-01-07,54
2018-01-14,54
2018-01-21,50
2018-01-28,46
2018-02-04,50
2018-02-11,44
2018-02-18,54
2018-02-25,57
2018-03-04,50
2018-03-11,44
2018-03-18,57
2018-03-25,58
2018-04-01,62
2018-04-08,50
2018-04-15,44
2018-04-22,50
2018-04-29,51
2018-05-06,59
2018-05-13,63
2018-05-20,52
2018-05-27,47
2018-06-03,61
2018-06-10,66
2018-06-17,47
2018-06-24,56
2018-07-01,65
2018-07-08,56
2018-07-15,67
2018-07-22,56
2018-07-29,49
2018-08-05,64
2018-08-12,53
2018-08-19,62
2018-08-26,57
2018-09-02,59
2018-09-09,51
2018-09-16,50
2018-09-23,45
2018-09-30,48
2018-10-07,49
2018-10-14,51
2018-10-21,51
2018-10-28,50
2018-11-04,52
2018-11-11,51
2018-11-18,55
2018-11-25,48
2018-12-02,55
2018-12-09,53
2018-12-16,50
2018-12-23,51
2018-12-30,57
2019-01-06,50
2019-01-13,51
2019-01-20,51
2019-01-27,49
2019-02-03,46
2019-02-10,51
2019-02-17,48
2019-02-24,40
2019-03-03,62
2019-03-10,50
2019-03-17,57
2019-03-24,57
2019-03-31,56
2019-04-07,47
2019-04-14,58
2019-04-21,49
2019-04-28,48
2019-05-05,53
2019-05-12,50
2019-05-19,56
2019-05-26,56
2019-06-02,70
2019-06-09,63
2019-06-16,56
2019-06-23,59
2019-06-30,64
2019-07-07,56
2019-07-14,61
2019-07-21,60
2019-07-28,62
2019-08-04,52
2019-08-11,56
2019-08-18,64
2019-08-25,58
2019-09-01,51
2019-09-08,50
2019-09-15,47
2019-09-22,49
2019-09-29,53
2019-10-06,57
2019-10-13,51
2019-10-20,46
2019-10-27,47
2019-11-03,46
2019-11-10,54
2019-11-17,50
2019-11-24,58
2019-12-01,49
2019-12-08,51
2019-12-15,51
2019-12-22,57
2019-12-29,62
2020-01-05,57
2020-01-12,61
2020-01-19,55
2020-01-26,51
2020-02-02,49
2020-02-09,47
2020-02-16,53
2020-02-23,59
2020-03-01,57
2020-03-08,56
2020-03-15,58
2020-03-22,58
2020-03-29,73
2020-04-05,68
2020-04-12,75
2020-04-19,84
2020-04-26,92
2020-05-03,83
2020-05-10,84
2020-05-17,92
2020-05-24,100
2020-05-31,86
2020-06-07,92
2020-06-14,89
2020-06-21,76
2020-06-28,88
2020-07-05,79
2020-07-12,79
2020-07-19,70
2020-07-26,73
2020-08-02,77
2020-08-09,81
2020-08-16,76
2020-08-23,74
2020-08-30,70
2020-09-06,73
2020-09-13,70
2020-09-20,64
2020-09-27,71
2020-10-04,67
2020-10-11,60
2020-10-18,72
2020-10-25,66
2020-11-01,55
2020-11-08,62
2020-11-15,68
2020-11-22,60
2020-11-29,62
2020-12-06,66
2020-12-13,62
2020-12-20,68
2020-12-27,64
2021-01-03,59
2021-01-10,71
2021-01-17,61
2021-01-24,67
2021-01-31,66
2021-02-07,61
2021-02-14,72
2021-02-21,78
2021-02-28,67
2021-03-07,58
2021-03-14,66
2021-03-21,61
2021-03-28,69
2021-04-04,76
2021-04-11,74
2021-04-18,61
