Category: All categories

Week,diy: (United States)
2018-01-07,49
2018-01-14,54
2018-01-21,52
2018-01-28,51
2018-02-04,51
2018-02-11,53
2018-02-18,50
2018-02-25,52
2018-03-04,50
2018-03-11,49
2018-03-18,50
2018-03-25,52
2018-04-01,50
2018-04-08,49
2018-04-15,51
2018-04-22,53
2018-04-29,52
2018-05-06,59
2018-05-13,53
2018-05-20,54
2018-05-27,59
2018-06-03,55
2018-06-10,56
2018-06-17,55
2018-06-24,53
2018-07-01,59
2018-07-08,56
2018-07-15,56
2018-07-22,55
2018-07-29,56
2018-08-05,55
2018-08-12,55
2018-08-19,52
2018-08-26,52
2018-09-02,53
2018-09-09,52
2018-09-16,57
2018-09-23,58
2018-09-30,63
2018-10-07,64
2018-10-14,67
2018-10-21,93
2018-10-28,82
2018-11-04,51
2018-11-11,54
2018-11-18,55
2018-11-25,57
2018-12-02,58
2018-12-09,55
2018-12-16,56
2018-12-23,52
2018-12-30,52
2019-01-06,48
2019-01-13,48
2019-01-20,49
2019-01-27,50
2019-02-03,49
2019-02-10,50
2019-02-17,46
2019-02-24,46
2019-03-03,47
2019-03-10,47
2019-03-17,46
2019-03-24,49
2019-03-31,50
2019-04-07,49
2019-04-14,48
2019-04-21,50
2019-04-28,48
2019-05-05,53
2019-05-12,49
2019-05-19,50
2019-05-26,53
2019-06-02,52
2019-06-09,54
2019-06-16,52
2019-06-23,53
2019-06-30,53
2019-07-07,52
2019-07-14,52
2019-07-21,51
2019-07-28,50
2019-08-04,49
2019-08-11,52
2019-08-18,50
2019-08-25,46
2019-09-01,49
2019-09-08,49
2019-09-15,51
2019-09-22,51
2019-09-29,56
2019-10-06,60
2019-10-13,65
2019-10-20,77
2019-10-27,81
2019-11-03,48
2019-11-10,49
2019-11-17,49
2019-11-24,49
2019-12-01,52
2019-12-08,51
2019-12-15,52
2019-12-22,49
2019-12-29,50
2020-01-05,44
2020-01-12,46
2020-01-19,46
2020-01-26,44
2020-02-02,45
2020-02-09,47
2020-02-16,47
2020-02-23,44
2020-03-01,48
2020-03-08,51
2020-03-15,58
2020-03-22,75
2020-03-29,89
2020-04-05,100
2020-04-12,82
2020-04-19,83
2020-04-26,85
2020-05-03,84
2020-05-10,80
2020-05-17,75
2020-05-24,75
2020-05-31,64
2020-06-07,67
2020-06-14,68
2020-06-21,63
2020-06-28,63
2020-07-05,61
2020-07-12,59
2020-07-19,61
2020-07-26,60
2020-08-02,60
2020-08-09,60
2020-08-16,57
2020-08-23,54
2020-08-30,53
2020-09-06,52
2020-09-13,51
2020-09-20,53
2020-09-27,54
2020-10-04,57
2020-10-11,59
2020-10-18,65
2020-10-25,82
2020-11-01,41
2020-11-08,54
2020-11-15,55
2020-11-22,57
2020-11-29,58
2020-12-06,56
2020-12-13,55
2020-12-20,52
2020-12-27,57
2021-01-03,48
2021-01-10,46
2021-01-17,47
2021-01-24,47
2021-01-31,49
2021-02-07,49
2021-02-14,47
2021-02-21,43
2021-02-28,45
2021-03-07,44
2021-03-14,45
2021-03-21,46
2021-03-28,46
2021-04-04,44
2021-04-11,44
2021-04-18,43
